Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,type,region
12-01-2020,1.582968419,47380.35,207.95,3602.18,16.05,40548.5,organic,BaltimoreWashington
12-01-2020,0.912017915,324709.97,186309.28,9250.49,1829.79,54900.7,conventional,BirminghamMontgomery
12-01-2020,1.333146695,7969.99,45.73,257.01,0,6467.85,organic,BirminghamMontgomery
12-01-2020,1.075423001,126817.8,39991.02,8395.99,1179.89,15697.97,conventional,Boise
12-01-2020,1.682162085,3657.43,3.64,550.38,1.21,1145.55,organic,Boise
12-01-2020,1.387027944,576406.83,12025.08,373917.61,1305.03,127666.29,conventional,Boston
12-01-2020,1.915003043,21506.43,35.74,1202.47,0,18621.31,organic,Boston
12-01-2020,1.052076185,191259.77,9419.73,63802.59,322.59,114092.36,conventional,BuffaloRochester
12-01-2020,1.626846734,9896.24,514.84,151.73,0,9219.17,organic,BuffaloRochester
12-01-2020,1.175739947,5847376.98,1838929.59,778271.25,128021.87,779461.85,conventional,California
12-01-2020,1.862070772,244015.05,25645.8,14060.85,27.86,73219.32,organic,California
12-01-2020,1.169549844,297213.75,107003.72,50875.09,2462.27,93172.37,conventional,Charlotte
12-01-2020,1.67139806,13063.66,41.38,3234.72,61.58,6333.68,organic,Charlotte
12-01-2020,1.469004997,642691.13,84609.55,174436.43,37211.64,115084.49,conventional,Chicago
12-01-2020,1.643082625,85053.62,1630.75,12022.37,0,9315.96,organic,Chicago
12-01-2020,0.821870934,345003.86,79829.34,12273.28,8898.28,26811.05,conventional,CincinnatiDayton
12-01-2020,1.307102751,18524.21,105.29,3046.05,0,2123.57,organic,CincinnatiDayton
12-01-2020,0.78359094,266899.35,73812.37,11146.18,1885.16,28332.9,conventional,Columbus
12-01-2020,1.668057299,11809.15,408.35,1744.57,0,2277.79,organic,Columbus
12-01-2020,0.722348812,1601269.42,727208.82,185565.64,9561.22,254960.3,conventional,DallasFtWorth
12-01-2020,1.419667901,32318.76,3211.08,69.26,316.79,19637.66,organic,DallasFtWorth
12-01-2020,1.130545736,769732.01,205140.2,82332.33,3556,172903.36,conventional,Denver
12-01-2020,1.11641711,156818.59,26335.04,2455.07,6.43,5801.91,organic,Denver
12-01-2020,0.873460271,543342.19,135125,36520.65,39823.85,75509.71,conventional,Detroit
12-01-2020,1.684727242,22437.7,1448.25,3521.61,0,5100.31,organic,Detroit
12-01-2020,1.525327513,155576.38,5406.2,57216.04,42446.84,36220.93,conventional,GrandRapids
12-01-2020,1.561919237,5506.89,9.46,1368.83,0,4092.15,organic,GrandRapids
12-01-2020,1.034143541,3903810.13,833709.74,619109.57,207701.97,610866.48,conventional,GreatLakes
12-01-2020,1.625453691,203430.5,6804.48,30276.7,33.44,49578.73,organic,GreatLakes
12-01-2020,1.077181785,328573.38,53351.2,162107.83,516.14,102272.23,conventional,HarrisburgScranton
12-01-2020,1.323606424,14995.07,659.8,257.94,0,14048.45,organic,HarrisburgScranton
12-01-2020,1.503865198,297342.3,7213.78,219925.61,630.45,62412.41,conventional,HartfordSpringfield
12-01-2020,2.110704998,13600.33,659.94,5972.17,0,6878.83,organic,HartfordSpringfield
12-01-2020,0.623982379,1451887.22,804908.16,192370.46,1143.26,131224.1,conventional,Houston
12-01-2020,1.630335999,12902.2,5870.7,10.12,0,925.18,organic,Houston
12-01-2020,0.838305635,283613.65,77517.79,26655.09,3629.8,38296.78,conventional,Indianapolis
12-01-2020,1.54595376,7042.67,223.47,1064.7,0,2459.88,organic,Indianapolis
12-01-2020,0.912207688,243489.72,92987.56,8508.77,986.66,43883.2,conventional,Jacksonville
12-01-2020,1.238938758,8890.52,50.82,137.64,0,8671.34,organic,Jacksonville
12-01-2020,1.007405868,344186.48,61189.43,41907.56,664.95,66824.25,conventional,LasVegas
12-01-2020,1.393461295,11302.87,1117.12,397.81,0,2942.76,organic,LasVegas
12-01-2020,1.166848117,2662329.66,831859.19,58248.94,93801.3,401393.82,conventional,LosAngeles
12-01-2020,1.767451767,115036.2,13662.2,1714.19,4.22,16603.91,organic,LosAngeles
12-01-2020,0.838682428,150956.38,43269.16,9892.45,202.79,20088.12,conventional,Louisville
12-01-2020,1.495007903,4449.82,0,872.48,0,699.66,organic,Louisville
12-01-2020,0.923793152,1008978.86,401143.79,30588.72,4295.54,149062.92,conventional,Miami
12-01-2020,1.267062785,27273.16,409.48,2.28,0,25360.01,organic,Miami
12-01-2020,1.075301078,3573428.37,1018597.06,736318.37,17740.93,925290.47,conventional,Midsouth
12-01-2020,1.508822921,180235.4,908.78,24805.97,239.42,86078.09,organic,Midsouth
12-01-2020,0.846361656,280060.55,103818.11,7235.54,627.98,36781.73,conventional,Nashville
12-01-2020,1.476510738,13467.39,31.18,1640.61,0,3260.98,organic,Nashville
12-01-2020,1.434519424,1586713.46,38429.7,875952.09,10195.94,605390.41,conventional,NewYork
12-01-2020,1.699698381,97385.09,22499.75,12340.44,412.1,53094.38,organic,NewYork
12-01-2020,0.851128008,315279.23,174769.81,15795.47,391.23,78370.43,conventional,NewOrleans
12-01-2020,1.143889348,8580.45,56.78,0,0,8219.92,organic,NewOrleans
12-01-2020,1.315759576,4783627.16,249195.12,2710023.58,16035.72,1513934.16,conventional,Northeast
12-01-2020,1.690224682,242068.06,32795.72,28731.39,417.94,162874.39,organic,Northeast
12-01-2020,1.266067771,424626.34,8066.09,324290.23,250.52,61286.57,conventional,NorthernNewEngland
12-01-2020,1.775790398,14286.35,73.95,462.23,0,11923.74,organic,NorthernNewEngland
12-01-2020,0.903600921,590334.25,229070.57,13544.9,4225.93,119492.69,conventional,Orlando
12-01-2020,1.164243661,21568.49,101.81,0,0,21300.43,organic,Orlando
12-01-2020,0.963452972,125444.58,32026.29,21616.74,1353.98,28360.01,conventional,PeoriaSpringfield
12-01-2020,1.690537386,3707.19,26.03,907.18,0,1697.31,organic,PeoriaSpringfield
12-01-2020,1.210478374,564636.73,33077.25,272116.88,1494.81,214530.79,conventional,Philadelphia
12-01-2020,1.507305113,33069.1,2608.94,4304.01,0,23375.17,organic,Philadelphia
12-01-2020,0.713633994,1463678.08,520369.7,230486.59,4830.72,98557.76,conventional,PhoenixTucson
12-01-2020,1.190319871,36247.38,2023.57,1131.95,0,22208.71,organic,PhoenixTucson
12-01-2020,1.007472935,134753.34,50619.18,9076.11,522.55,33358.98,conventional,Pittsburgh
12-01-2020,1.56106315,6896.58,1499.56,6.98,0,4592.59,organic,Pittsburgh
12-01-2020,1.050338609,1981888.3,844597.14,446015.74,19070.34,410428.99,conventional,Plains
12-01-2020,1.476458801,44222.36,5396.29,7003.68,31.72,27098.6,organic,Plains
12-01-2020,1.070202124,740244.16,99078.12,88367.47,4381.12,105367.9,conventional,Portland
12-01-2020,1.73472333,34110.83,162.63,6165.21,0,2872.6,organic,Portland
12-01-2020,1.567664025,73396.88,2220.96,52583.04,107.51,10476.81,conventional,Providence
12-01-2020,2.010953191,2939.36,17.02,2.62,0,2919.72,organic,Providence
12-01-2020,1.12628738,378258.9,129902.5,56223.19,4616.6,143050.45,conventional,RaleighGreensboro
12-01-2020,1.520364025,19897.69,185.86,3271.94,84.29,5391.22,organic,RaleighGreensboro
12-01-2020,0.952792617,303991.87,88570.51,50164.79,1109.97,69716.5,conventional,RichmondNorfolk
12-01-2020,1.456992857,14658.72,34.56,1863.54,7.7,7689.36,organic,RichmondNorfolk
12-01-2020,0.858901696,194232.28,61852.32,21543.52,54.11,35100.3,conventional,Roanoke
12-01-2020,1.410445112,8771.32,29.73,1518.99,0,2951.16,organic,Roanoke
12-01-2020,1.26804657,483784.36,154815.31,177365.8,2933.52,63262.65,conventional,Sacramento
12-01-2020,1.971346369,12127.47,1761.23,2246.91,0,6603.17,organic,Sacramento
12-01-2020,1.138650475,471326.93,97593.61,22011.64,8131.35,67756.22,conventional,SanDiego
12-01-2020,1.750826731,28499.6,960.82,863.33,12.91,7183.66,organic,SanDiego
12-01-2020,1.224026372,901190.66,277757.03,257174.73,4434.22,88685.15,conventional,SanFrancisco
12-01-2020,2.192356086,43614.32,4999.83,4799.09,9.41,22374.27,organic,SanFrancisco
12-01-2020,1.372126157,680305.24,74965.63,103627.66,1923.9,50262.45,conventional,Seattle
12-01-2020,1.941426806,49802,207.31,6667.93,3.41,8124.67,organic,Seattle
12-01-2020,1.018091724,448424.72,181856.3,41971.81,1516.4,79768.3,conventional,SouthCarolina
12-01-2020,1.465066513,17716.16,206.71,2891.78,43.32,7942.7,organic,SouthCarolina
12-01-2020,0.704596186,6553540.14,3617087.12,691718.41,68290.29,1040951.18,conventional,SouthCentral
12-01-2020,1.36150479,111985.28,13523.75,1226.95,1669.63,70521.88,organic,SouthCentral
12-01-2020,0.922719233,5332186.04,2267329.8,208190.59,20305.89,901214.73,conventional,Southeast
12-01-2020,1.267211459,183062.08,1418.16,10653.23,45.66,129128.11,organic,Southeast
12-01-2020,1.104243542,89975.06,16800.14,12967.96,101.54,17038.16,conventional,Spokane
12-01-2020,1.52591938,3541.97,46.89,852.01,0,1073.02,organic,Spokane
12-01-2020,1.214475331,170468.46,86540.3,8719.78,586.92,49972.77,conventional,StLouis
12-01-2020,2.091435334,6728.05,923.22,1756.25,0,2428.2,organic,StLouis
12-01-2020,1.121067615,86926.86,3153.17,40916.94,69.93,39531.19,conventional,Syracuse
12-01-2020,1.636620159,3376.53,143.4,79.93,0,3089.73,organic,Syracuse
12-01-2020,0.905741895,618995.73,221643.44,16350.52,2155.5,112594.48,conventional,Tampa
12-01-2020,1.119437406,19340.7,169.63,0,0,19033.39,organic,Tampa
12-01-2020,0.822876828,152751.81,40014.53,12907.43,6599.55,19483.56,conventional,Toledo
12-01-2020,1.60214674,5009.43,51.56,793.16,0,1543.22,organic,Toledo
12-01-2020,1.016008442,38957760.83,12542250.26,7081055.5,526696.56,7211617.61,conventional,TotalUS
12-01-2020,1.519207515,1643305.11,133238.21,142311.84,3414.38,677155.77,organic,TotalUS
12-01-2020,0.990179903,6981903.72,1872804.69,891407.98,49529.57,1029469.76,conventional,West
12-01-2020,1.337019275,434286.4,46745.24,25553.06,948.72,78656.67,organic,West
12-01-2020,0.869952764,852645.19,339939.73,52204.52,54618.15,266317.83,conventional,WestTexNewMexico
12-01-2020,1.217953951,23411.63,1045.55,543.63,1798.49,15657.73,organic,WestTexNewMexico
12-01-2020,0.858413172,117507.79,42021.64,3576.15,282.67,22273.65,conventional,Wichita
12-01-2020,1.448075241,1995.91,10.97,505.5,2.19,574.22,organic,Wichita
19-01-2020,1.088107221,138162.91,5057.86,108635.2,306.59,15879.12,conventional,Albany
19-01-2020,1.765863457,1997.48,421.14,199.04,0,1156.77,organic,Albany
19-01-2020,0.932959644,742157.23,337285.47,29918.72,3425.56,105447.93,conventional,Atlanta
19-01-2020,1.326492877,27475.36,79.86,3917.84,0,5559.79,organic,Atlanta
19-01-2020,1.301836743,938039.77,107577.12,393155.86,4661.46,343749.37,conventional,BaltimoreWashington
19-01-2020,1.470826114,52571.82,452.28,4091.99,13.78,46216.03,organic,BaltimoreWashington
19-01-2020,0.906448158,319270.75,188567.82,7986.62,1915.29,52047.59,conventional,BirminghamMontgomery
19-01-2020,1.376372418,6376.87,48.84,227.79,0,5101.42,organic,BirminghamMontgomery
19-01-2020,0.965999459,134727.1,48776.61,4551.97,1085.25,16120.89,conventional,Boise
19-01-2020,1.623976705,3484.79,0,443.76,3.64,539.96,organic,Boise
19-01-2020,1.318731883,642863.58,15410.58,404676.85,2323.55,135823.89,conventional,Boston
19-01-2020,2.006129882,19901.94,72.93,1320.95,0,17653,organic,Boston
19-01-2020,1.062817729,198819.92,9645.09,68181.09,258.16,116632.19,conventional,BuffaloRochester
19-01-2020,1.558033194,10370.99,409.42,133.01,0,9828.56,organic,BuffaloRochester
19-01-2020,1.11020385,6296963.67,1694948.35,933659.68,174140.63,750817.59,conventional,California
19-01-2020,1.866729363,232470.14,23729.62,13183.22,30.26,74063.89,organic,California
19-01-2020,1.010896468,354196.28,115270.18,44144.69,1999.13,152710.3,conventional,Charlotte
19-01-2020,1.693833954,13349.06,110.14,3181.16,50.75,7615.71,organic,Charlotte
19-01-2020,1.327101156,754694.94,73246.29,308241.64,32498.86,94062.36,conventional,Chicago
19-01-2020,1.667204313,53324.87,979.06,6757.68,0,9209.51,organic,Chicago
19-01-2020,0.822387963,346076.15,76757.12,38417.45,9026.44,25515.01,conventional,CincinnatiDayton
19-01-2020,1.506995954,15036.38,99.93,2363.24,0,1198.66,organic,CincinnatiDayton
19-01-2020,0.748090023,278279.71,73874.64,34178.14,2434.72,28035.42,conventional,Columbus
19-01-2020,1.612788143,9707.03,602.62,1252.24,0,1394.5,organic,Columbus
19-01-2020,0.656859811,1604949.17,789465.52,148966.55,10604.25,246692.93,conventional,DallasFtWorth
19-01-2020,1.418903399,30731.6,3458.68,62.02,323.99,19933.74,organic,DallasFtWorth
19-01-2020,0.888521579,1025200.57,216617.03,123241.81,2802.28,153674.95,conventional,Denver
19-01-2020,0.999523665,163050.91,30326.08,2404.57,0,5012.31,organic,Denver
19-01-2020,0.898839981,563411.38,108638.7,66403.26,100180.67,74942.81,conventional,Detroit
19-01-2020,1.590261346,14110.17,686.06,2182.76,0,3826.97,organic,Detroit
19-01-2020,1.210759548,212750.33,4290.61,75790.76,89852.92,21425.2,conventional,GrandRapids
19-01-2020,1.634789541,3765.08,1.89,856.93,0,2819.4,organic,GrandRapids
19-01-2020,0.993685133,4270934.23,777424.43,1058403.46,418351.96,526528.17,conventional,GreatLakes
19-01-2020,1.617593808,153970.11,11130.57,19941.06,58.34,38210.12,organic,GreatLakes
19-01-2020,1.076900946,332971.43,65779.44,155351.93,939.21,100974.46,conventional,HarrisburgScranton
19-01-2020,1.213362099,19221.81,1288.24,389.97,0,17519.71,organic,HarrisburgScranton
19-01-2020,1.457099861,300217.7,7823.12,225825.3,1094.09,58041.75,conventional,HartfordSpringfield
19-01-2020,1.895776789,17922.5,1938.54,9145.6,0,6550.41,organic,HartfordSpringfield
19-01-2020,0.555302918,1445375.63,831447.27,179375.86,782.87,128192.03,conventional,Houston
19-01-2020,1.627284851,7406.44,2154.48,4.04,0,684.08,organic,Houston
19-01-2020,0.812615231,306050.74,76357.74,64885.4,4956.82,36366.47,conventional,Indianapolis
19-01-2020,1.541757968,7197.58,232.81,967.39,0,1810.08,organic,Indianapolis
19-01-2020,0.911856932,249898.84,111744.3,8655.24,1122.61,44131.42,conventional,Jacksonville
19-01-2020,1.328164577,7500.94,36.77,140.59,0,7303.1,organic,Jacksonville
19-01-2020,0.776376343,486590.72,79465.33,118117.75,757.55,65233.89,conventional,LasVegas
19-01-2020,1.390186796,12034.32,1346.42,741.46,0,2252.25,organic,LasVegas
19-01-2020,1.004870972,3028696.56,814010.44,83043.15,126467.08,368272.64,conventional,LosAngeles
19-01-2020,1.745198273,106728.17,11144.82,1737.69,12.67,18280.11,organic,LosAngeles
19-01-2020,0.848104525,151344.62,38385.52,18638.65,264.46,19581.02,conventional,Louisville
19-01-2020,1.616475147,3595.07,0,678.05,0,686.91,organic,Louisville
19-01-2020,0.936274285,1028390.29,425294.58,29975.51,5315.82,154181.19,conventional,Miami
19-01-2020,1.340909565,23341.6,351.37,2.27,0,22200.88,organic,Miami
19-01-2020,1.036974188,3905542.68,1095456.89,782188.39,16741.42,1142971.35,conventional,Midsouth
19-01-2020,1.523741616,172205.89,2415.48,24128.19,394.38,88523.15,organic,Midsouth
19-01-2020,0.837322999,308355.13,123135.38,6562.6,301.6,39864.26,conventional,Nashville
19-01-2020,1.595743335,9519.58,43.46,1104.08,0,2765.48,organic,Nashville
19-01-2020,1.425194596,1576566.52,42250.25,934967.21,17150.22,517848.54,conventional,NewYork
19-01-2020,1.528310719,127900.96,38488.57,20763.06,18.41,61492.08,organic,NewYork
19-01-2020,0.897320575,333721.24,182184.52,16957.81,442.94,89531.43,conventional,NewOrleans
19-01-2020,1.151197626,7855.03,107.46,0,0,7508.32,organic,NewOrleans
19-01-2020,1.250497426,5111692.77,289066.3,3036701.63,26241.14,1413806.5,conventional,Northeast
19-01-2020,1.570342691,292190.87,59849.06,44293.76,20.67,172447.13,organic,Northeast
19-01-2020,0.983384921,617654.05,11307.8,512933.42,397.82,51858.96,conventional,NorthernNewEngland
19-01-2020,1.859634678,11702.26,56.03,429.68,0,9725.61,organic,NorthernNewEngland
19-01-2020,0.889466712,611178.16,251501.65,14994.3,5637.94,117569.21,conventional,Orlando
